sender.location,sender.latitude,sender.longitude,receiver.location,receiver.latitude,receiver.longitude,date
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1936-11-10
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1937-03-28
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1937-05-28
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1938-07-16
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1937-11-16
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1938-04-02
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1938-05-10
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1939-03-20
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1940-06-15
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1941-06-19
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1942-05-10
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, Munich",48.135125,11.581981,1937-05-07
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1938-07-15
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1938-09-04
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1939-01-31
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1939-05-18
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1939-07-08
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1939-07-20
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1939-09-29
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, Munich",48.135125,11.581981,1939-11-22
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1939-12-21
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1940-01-10
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1941-04-19
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1941-05-31
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1941-07-07
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, München",48.135125,11.581981,1942-03-27
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1938-04-01
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1937-11-21
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1937-12-31
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1938-02-11
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1941-06-26
"DEU, Bremen",53.079296,8.801694,"DEU, München",48.135125,11.581981,1937-10-21
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,1935-06-13
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,1935-10-06
"USA, Orange (NJ)",33.787794,-117.853112,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1884-07-12
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1862-12-24
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-12-15
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1862-12-24
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-11-13
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-12-15
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1877-06-02
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1860-08-06
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1861-08-07
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-01-17
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-12-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-09-13
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-10-13
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-10-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-06-04
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-08-14
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1868-05-10
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-07-01
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-10-25
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1871-07-20
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1876-09-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1877-04-16
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1877-09-03
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1878-06-19
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-12-23
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-01-19
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-11-01
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-06-07
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-07-15
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1868-05-10
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1870-06-12
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1871-05-31
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1871-06-17
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1872-10-20
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1877-09-03
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1878-06-19
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1860-08-06
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1861-08-07
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1862-12-24
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-01-17
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-10-12
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-12-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-09-13
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-09-13
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-10-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-10-24
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-06-04
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-08-14
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1868-05-10
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-07-01
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1869-10-25
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1871-07-20
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1876-09-24
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1864-12-23
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-01-19
"USA, Maisfeld (near Oskaloosa) (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1865-10-01
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-11-01
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-02-24
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1870-06-12
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1871-05-31
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1872-10-20
"DEU, Erfurt",50.984768,11.02988,"DEU, Gräfenroda",50.747635,10.810775,1888-03-02
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1864-08-08
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1864-08-10
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1872-03-22
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,1881-02-18
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,1881-02-26
"FRA, Versailles",48.801408,2.130122,"DEU, Gräfenroda",50.747635,10.810775,1881-08-26
"FRA, Fort de Noisy",48.833953,2.560984,"DEU, Gräfenroda",50.747635,10.810775,1882-03-12
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Suhl",50.607685,10.688126,1865-06-03
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1881-04-09
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1890-11-05
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1868-02-06
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1880-01-27
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1868-04-29
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-01-08
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1874-08-28
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1880-01-28
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1865-10-18
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1868-02-05
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1868-02-21
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1868-08-26
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-01-08
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1871-05-22
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1875-03-06
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1878-03-24
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1879-10-05
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1879-12-31
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1885-07-07
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1885-09-02
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1886-12-05
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1887-06-08
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1887-10-13
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1889-02-20
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1894-10-08
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-07-22
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1870-04-06
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1870-10-28
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1872-10-09
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1873-07-07
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1875-03-29
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1875-09-22
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1877-03-31
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1877-10-28
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1878-08-14
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1880-07-26
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1880-11-24
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1863-05-02
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1864-08-03
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1870-10-02
"USA, Monroe (MI)",41.916434,-83.39771,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1895-11-21
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1893-10-20
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1898-07-31
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1902-08-06
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1910-01-16
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1916-09-29
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1893-10-20
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1910-01-16
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1916-09-29
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1914-08-24
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1903-03-17
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,1904-10-24
"USA, St. Louis (MO)",38.627003,-90.199404,"DEU, Heilbronn",49.142693,9.210879,1857-09-15
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Heilbronn",49.142693,9.210879,1847-06-15
"USA, Warschau (IN)",41.2381,-85.853047,"DEU, Stuttgart",48.775846,9.182932,1848-12-22
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1865-01-25
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1865-10-17
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1866-08-15
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1867-10-17
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1868-01-11
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,1869-01-12
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1872-11-12
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1873-08-21
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1874-08-13
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1875-05-16
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1876-10-18
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1879-07-30
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,1881-09-09
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1884-08-10
"USA, Williamsburg (NY)",40.708116,-73.95707,"DEU, Limbach (SA)",50.584022,12.252519,1885-01-10
"USA, Williamsburg (NY)",40.708116,-73.95707,"DEU, Limbach (SA)",50.584022,12.252519,1885-04-01
"USA, Brooklyn (NY)",40.678178,-73.944158,"DEU, Limbach (SA)",50.584022,12.252519,1885-07-01
"USA, Brooklyn (NY)",40.678178,-73.944158,"DEU, Limbach (SA)",50.584022,12.252519,1885-11-14
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1886-04-12
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1887-08-19
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1887-10-10
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1891-12-09
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1892-05-11
"USA, San Francisco (CA)",37.77493,-122.419416,"DEU, Limbach (SA)",50.584022,12.252519,1887-10-10
"CHE,  Amrisweil",47.544972,9.300241,"DEU, Limbach (SA)",50.584022,12.252519,1902-07-09
"USA, Brooklyn (NY)",40.678178,-73.944158,"DEU, Limbach (SA)",50.584022,12.252519,1877-03-14
"USA, Union Hill (NY)",43.222841,-77.371658,"DEU, Limbach (SA)",50.584022,12.252519,1877-08-14
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1880-02-04
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1880-08-19
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1880-12-05
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1881-05-11
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1881-08-03
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1882-02-08
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1882-04-12
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1882-08-09
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1882-12-05
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-02-10
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-04-18
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-04-18
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-04-18
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-07-25
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-09-28
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1883-10-21
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1884-04-26
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1884-06-21
"USA, New York (NY)",40.712784,-74.005941000000007,"DEU, Limbach (SA)",50.584022,12.252519,1884-08-10
"USA, Williamsburg (NY)",40.708116,-73.95707,"DEU, Limbach (SA)",50.584022,12.252519,1885-01-10
