sender.location,sender.latitude,sender.longitude,receiver.location,receiver.latitude,receiver.longitude,date,sender.country,receiver.country,journey
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1868-06-28,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1868-09-20,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1869-03-28,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1870-02-01,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1899-12-11,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Langen",49.991466,8.663401,1925-07-12,USA,DEU,47.65878 -117.426047 49.991466 8.663401
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1925-11-27,USA,DEU,47.65878 -117.426047 48.135125 11.581981
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1926-01-19,USA,DEU,47.65878 -117.426047 48.135125 11.581981
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1926-03-24,USA,DEU,47.65878 -117.426047 48.135125 11.581981
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1926-05-01,USA,DEU,47.65878 -117.426047 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1926-09-16,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1926-11-16,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1928-01-04,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1927-05-07,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1927-09-21,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1927-10-29,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1928-09-07,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1929-12-04,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1930-12-08,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"USA, Winona (MN)",44.055391,-91.666352,"DEU, Munich",48.135125,11.581981,1931-10-29,USA,DEU,44.055391 -91.666352 48.135125 11.581981
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, Munich",48.135125,11.581981,1926-10-26,CAN,DEU,51.799528 -108.835033 48.135125 11.581981
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1928-01-03,CAN,DEU,43.250021 -79.866091 48.135125 11.581981
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1928-02-23,CAN,DEU,43.250021 -79.866091 48.135125 11.581981
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1928-07-21,CAN,DEU,43.250021 -79.866091 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1928-11-05,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1928-12-26,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1929-01-07,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,1929-03-19,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, Munich",48.135125,11.581981,1929-05-12,USA,DEU,42.886447 -78.878369 48.135125 11.581981
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,1929-06-10,CAN,DEU,43.250021 -79.866091 48.135125 11.581981
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1929-06-30,USA,DEU,42.886447 -78.878369 48.135125 11.581981
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1930-10-08,USA,DEU,42.886447 -78.878369 48.135125 11.581981
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1930-11-19,USA,DEU,42.886447 -78.878369 48.135125 11.581981
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,1930-12-26,USA,DEU,42.886447 -78.878369 48.135125 11.581981
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, München",48.135125,11.581981,1931-09-15,CAN,DEU,51.799528 -108.835033 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1927-09-20,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1927-05-12,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1927-06-21,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1927-08-02,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,1930-12-15,USA,DEU,43.038903 -87.906474 48.135125 11.581981
"DEU, Bremen",53.079296,8.801694,"DEU, München",48.135125,11.581981,1927-04-11,DEU,DEU,53.079296 8.801694 48.135125 11.581981
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,1924-12-01,USA,DEU,44.088606 -87.657584 48.135125 11.581981
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,1925-03-26,USA,DEU,44.088606 -87.657584 48.135125 11.581981
"USA, Orange (NJ)",33.787794,-117.853112,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1873-12-31,USA,DEU,33.787794 -117.853112 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1852-06-13,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-06-05,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1852-06-13,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-05-04,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-06-05,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-11-21,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1850-01-25,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1851-01-26,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1853-07-07,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-06-14,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1855-03-04,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1855-04-03,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-04-13,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-11-22,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-02-01,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-10-29,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1858-12-20,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-04-15,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1861-01-07,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-03-15,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-10-05,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-02-22,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-12-08,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-06-13,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-07-10,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-04-21,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-11-25,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-01-02,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-10-29,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-12-01,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1860-11-18,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1860-12-05,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1862-04-10,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-02-22,USA,DEU,40.404473 -91.396397 54.252211 12.439749
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1867-12-08,USA,DEU,40.404473 -91.396397 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1850-01-25,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1851-01-26,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1852-06-13,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1853-07-07,USA,DEU,39.103118 -84.51202 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-04-02,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-06-14,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1855-03-04,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1855-03-04,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-04-13,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-04-13,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-11-22,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-02-01,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1857-10-29,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1858-12-20,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-04-15,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1861-01-07,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1866-03-15,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-06-13,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1854-07-10,USA,DEU,39.091449 -84.495776 54.252211 12.439749
"USA, Maisfeld (near Oskaloosa) (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1855-03-22,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-04-21,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1856-08-14,USA,DEU,41.291673 -92.649359 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1859-12-01,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1860-11-18,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,1862-04-10,USA,DEU,40.359211 -91.434598 54.252211 12.439749
"DEU, Erfurt",50.984768,11.02988,"DEU, Gräfenroda",50.747635,10.810775,1877-08-21,DEU,DEU,50.984768 11.02988 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1854-01-27,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1854-01-29,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1861-09-10,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,1870-08-09,DEU,DEU,50.946919 10.709288 50.747635 10.810775
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,1870-08-17,DEU,DEU,50.946919 10.709288 50.747635 10.810775
"FRA, Versailles",48.801408,2.130122,"DEU, Gräfenroda",50.747635,10.810775,1871-02-14,FRA,DEU,48.801408 2.130122 50.747635 10.810775
"FRA, Fort de Noisy",48.833953,2.560984,"DEU, Gräfenroda",50.747635,10.810775,1871-08-31,FRA,DEU,48.833953 2.560984 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Suhl",50.607685,10.688126,1854-11-22,USA,DEU,42.331427 -83.045754 50.607685 10.688126
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1870-09-28,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1880-04-25,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1857-07-27,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-07-17,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1857-10-18,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1858-06-29,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1864-02-16,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-07-18,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1855-04-08,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1857-07-26,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1857-08-11,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1858-02-14,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1858-06-29,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1860-11-09,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1864-08-24,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1867-09-12,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-03-25,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1869-06-20,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1874-12-26,USA,DEU,42.331427 -83.045754 50.747635 10.810775
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,1875-02-21,USA,DEU,42.331427 -83.045754 50.747635 10.810775
